COUNTRY                                 DIVISION_TYPE                    DIVISION                                              ID0    ID1 NC_INDEX
Benin                                   Department                       Atakora                                                25      2     2502
Benin                                   Department                       Atlantique                                             25      3     2503
Benin                                   Department                       Borgou                                                 25      4     2504
Benin                                   Department                       Collines                                               25      5     2505
Benin                                   Department                       Donga                                                  25      6     2506
Benin                                   Department                       Kouffo                                                 25      7     2507
Benin                                   Department                       Littoral                                               25      8     2508
Benin                                   Department                       Mono                                                   25      9     2509
Benin                                   Department                       Ouémé                                                  25     10     2510
Benin                                   Department                       Plateau                                                25     11     2511
Benin                                   Department                       Zou                                                    25     12     2512
Bermuda                                 Municipality                     Hamilton Municipality                                  26      2     2602
Bermuda                                 Municipality                     Saint George municipality                              26      7     2607
Bermuda                                 Parish                           Devonshire                                             26      1     2601
Bermuda                                 Parish                           Hamilton                                               26      3     2603
Bermuda                                 Parish                           Paget                                                  26      4     2604
Bermuda                                 Parish                           Pembroke                                               26      5     2605
Bermuda                                 Parish                           Saint George's                                         26      6     2606
Bermuda                                 Parish                           Sandys                                                 26      8     2608
Bermuda                                 Parish                           Smiths                                                 26      9     2609
Bermuda                                 Parish                           Southampton                                            26     10     2610
Bermuda                                 Parish                           Warwick                                                26     11     2611
Bhutan                                  District                         Bumthang                                               27      1     2701
Bhutan                                  District                         Chhukha                                                27      2     2702
Bhutan                                  District                         Dagana                                                 27      3     2703
Bhutan                                  District                         Gasa                                                   27      4     2704
Bhutan                                  District                         Haa                                                    27      5     2705
Bhutan                                  District                         Lhuentse                                               27      6     2706
Bhutan                                  District                         Monggar                                                27      7     2707
Bhutan                                  District                         Paro                                                   27      8     2708
Bhutan                                  District                         Pemagatshel                                            27      9     2709
Bhutan                                  District                         Punakha                                                27     10     2710
Bhutan                                  District                         Samdrupjongkhar                                        27     11     2711
Bhutan                                  District                         Samtse                                                 27     12     2712
Bhutan                                  District                         Sarpang                                                27     13     2713
Bhutan                                  District                         Thimphu                                                27     14     2714
